Course Code,Course Name,Course Hours,Requirement Group,Number Required,Enrolled
BIOL 2327,Human Parasitology,,Organismal and Evolutionary Biology,one,False
BIOL 3401,Comparative Vertebrate Anatomy,,Organismal and Evolutionary Biology,one,False
BIOL 3413,Current Topics in Organismal and Population Biology,,Organismal and Evolutionary Biology,one,False
EEMB 2302and EEMB 2303,Ecologyand Lab for EEMB 2302,,Organismal and Evolutionary Biology,one,False
EEMB 2400,Introduction to Evolution,,Organismal and Evolutionary Biology,one,False
EEMB 2700and EEMB 2701,Marine Biologyand Lab for EEMB 2700,,Organismal and Evolutionary Biology,one,False
EEMB 3460,Conservation Biology,,Organismal and Evolutionary Biology,one,False
EEMB 3466,Disease Ecology,,Organismal and Evolutionary Biology,one,False
EEMB 3600,Animal Behavior,,Organismal and Evolutionary Biology,one,False
Complete three additional 4– or 5-semester-hour courses from the following:,12-15,,Intermediate and Advanced Biology,three,False
BIOL 4705,Neurobiology of Cognitive Decline,,Intermediate and Advanced Biology,three,False
BIOL 4707,Cell and Molecular Biology,,Intermediate and Advanced Biology,three,False
BIOL 4970,Junior/Senior Honors Project 1,,Intermediate and Advanced Biology,three,False
BIOL 4971,Junior/Senior Honors Project 2,,Intermediate and Advanced Biology,three,False
BIOL 4991,Research,,Intermediate and Advanced Biology,three,False
BIOL 4994,Internship,,Intermediate and Advanced Biology,three,False
