Course Code,Course Name,Course Hours,Requirement Group,Number Required,Enrolled
MATH 1341,Calculus 1 for Science and Engineering,4,Mathematics,All,False
ENVR 2500and ENVR 2501,Biostatisticsand Lab for ENVR 2500,5,Statistics,All,False
CHEM 1161and CHEM 1162and CHEM 1163,General Chemistry for Science Majorsand Lab for CHEM 1161and Recitation for CHEM 1161,5,Chemistry,All,False
CHEM 2311and CHEM 2312,Organic Chemistry 1and Lab for CHEM 2311,5,Chemistry,All,False
CHEM 2313and CHEM 2314,Organic Chemistry 2and Lab for CHEM 2313,5,Chemistry,All,False
PHYS 1145and PHYS 1146,Physics for Life Sciences 1and Lab for PHYS 1145 (Preferred),,Physics 1,one,False
PHYS 1151and PHYS 1152and PHYS 1153,Physics for Engineering 1and Lab for PHYS 1151and Interactive Learning Seminar for PHYS 1151,,Physics 1,one,False
PHYS 1161and PHYS 1162and PHYS 1163,Physics 1and Lab for PHYS 1161and Recitation for PHYS 1161,,Physics 1,one,False
PHYS 1147and PHYS 1148,Physics for Life Sciences 2and Lab for PHYS 1147 (Preferred),,Physics 2,one,False
PHYS 1155and PHYS 1156and PHYS 1157,Physics for Engineering 2and Lab for PHYS 1155and Interactive Learning Seminar for PHYS 1155,,Physics 2,one,False
PHYS 1165and PHYS 1166and PHYS 1167,Physics 2and Lab for PHYS 1165and Recitation for PHYS 1165,,Physics 2,one,False
