Course Code,Course Name,Course Hours,Requirement Group,Number Required,Enrolled
BUSN 1102,Personal Skill Development for Business,1,Foundational Courses,All,False
BUSN 1103,Professional Development for Business Co-op,1,Foundational Courses,All,False
ACCT 1201,Financial Accounting and Reporting,4,Required Courses,All,False
ACCT 2301,Profit Analysis for Managers and Advisors,4,Required Courses,All,False
FINA 2201,Financial Management,4,Required Courses,All,False
INTB 1203,International Business and Global Social Responsibility,4,Required Courses,All,False
MGSC 2301,Business Statistics,4,Required Courses,All,False
ORGB 3201,Organizational Behavior,4,Required Courses,All,False
STRT 4501,Strategy in Action,4,Required Courses,All,False
INNO 2301,Innovation!,,Business Elective,one,False
MISM 2301,Introduction to Information Systems and Digital Technologies,,Business Elective,one,False
MKTG 2201,Introduction to Marketing,,Business Elective,one,False
SCHM 2301,Supply Chain and Operations Management,,Business Elective,one,False
