Academic Program,Major Transcript Title,Major CIP Code
"P-CERTG-3DAN: 3D Animation, Graduate Certificate",3D Animation,100304
"CERTG-ACFD: Accounting and Financial Decision Making, Graduate Certificate",Accntng  Fin Decision Making,520899
"CERTG-ACFD-O: Accounting and Financial Decision Making—Online Program, Graduate Certificate",Accntng  Fin Decision Making,520899
"MSA-ACCT: Accounting, MSA",Accounting,520301
"P-CERTU-ACCT: Accounting, Undergraduate Certificate",Accounting,520301
"P-CERTU-AACT: Advanced Accounting, Undergraduate Certificate",Advanced Accounting,520301
"MS-AIMF: Advanced and Intelligent Manufacturing, MS",Advanced and Intelligent Mfg,143601
"P-BS-AVMS: Advanced Manufacturing Systems, BS",Advanced Manufacturing Systems,150613
"BA-AFMS: Africana Studies and Media and Screen Studies, BA",Africana St/Media  Screen St,050201
"BA-AFHS: Africana Studies and Human Services, BA",Africana Stud/Human Services,050201
"BA-AFCS: Africana Studies, BA",Africana Studies,050201
"BS-AFCS: Africana Studies, BS",Africana Studies,050201
"BA-AFEN: Africana Studies and English, BA",Africana Studies/English,050201
"BA-AFJO: Africana Studies and Journalism, BA",Africana Studies/Journalism,050201
"BA-AFPS: Africana Studies and Political Science, BA",Africana Studies/Political Sci,050201
"P-CERTG-AGPM: Agile Project Management, Graduate Certificate",Agile Project Management,520211
"CERTG-AIAP: AI Applications, Graduate Certificate",AI Applications,110105
"P-BS-ANLY: Analytics, BS",Analytics,110802
"P-CERTU-ANLY: Analytics, Undergraduate Certificate",Analytics,110802
"P-MPS-ANLY: Analytics, MPS",Analytics,110802
"MS-AQMS: Applied Quantitative Methods and Social Analysis, MS",Appl Quant Methods  Soc Anlys,450102
"P-CERTG-APAN: Applied Analytics, Graduate Certificate",Applied Analytics,307101
"CAGS-ABA: Applied Behavior Analysis, CAGS",Applied Behavior Analysis,422814
"CERTG-ABA: Applied Behavior Analysis, Graduate Certificate",Applied Behavior Analysis,422814
"MS-ABA: Applied Behavior Analysis, MS",Applied Behavior Analysis,422814
"MS-AEPP: Applied Educational Psychology, MS",Applied Educational Psychology,422805
"P-MPS-APLG: Applied Logistics, MPS",Applied Logistics,520203
"P-MPS-APMI: Applied Machine Intelligence, MPS",Applied Machine Intelligence,521301
"CERTG-AMTH: Applied Mathematics, Graduate Certificate",Applied Mathematics,270301
"MS-AMTH: Applied Mathematics, MS",Applied Mathematics,270301
"MS-APNR: Applied Nursing Research, MS",Applied Nursing Research,513808
"BS-APHY: Applied Physics, BS",Applied Physics,400801
"MS-APEN: Applied Physics and Engineering, MS",Applied Physics/Engineering,400801
"BA-APPS: Applied Psychology, BA",Applied Psychology,422813
"MS-APPS: Applied Psychology, MS",Applied Psychology,422813
"BS-ARCS: Architectural Studies, BS",Architectural Studies,040801
"BS-ARSD: Architectural Studies and Design, BS",Architectural Studies/Design,040803
"BS-ARCH: Architecture, BS",Architecture,040902
MARCH-ARCH1: Master of Architecture—One-Year Program,Architecture,040902
MARCH-ARCH2: Master of Architecture—Two-Year Program,Architecture,040902
MARCH-ARCH3: Master of Architecture—Three-Year Program,Architecture,040902
MARCH-ARCH3A: Master of Architecture—Three-Year Program—Advanced Degree Entrance,Architecture,040902
"BS-AENG: Architecture and English, BS",Architecture/English,040201
