Course Code,Course Name,Course Hours,Requirement Group,Number Required
CS 2800,Logic and Computation,4,Default,All
or CS 4820,Computer-Aided Reasoning,,Default,All
CS 4805,Fundamentals of Complexity Theory,4,Default,All
or CS 4810,Advanced Algorithms,,Default,All
CS 3950and CS 4950,Introduction to Computer Science Researchand Computer Science Research Seminar,,Default1,two
CS 4805,Fundamentals of Complexity Theory,,Default1,two
CS 4810,Advanced Algorithms,,Default1,two
CS 4820,Computer-Aided Reasoning,,Default1,two
CS 4830,"System Specification, Verification, and Synthesis",,Default1,two
CY 4770,Cryptography,,Default1,two
