Course Code,Course Name,Course Hours,Requirement Group,Number Required,Enrolled
ENGL 2296,Early African-American Literature,,Diversity,one,False
ENGL 2450,Postcolonial Literature,,Diversity,one,False
ENGL 2455,American Women Writers,,Diversity,one,False
ENGL 2470,Asian-American Literature,,Diversity,one,False
ENGL 2760,Writing in Global Contexts,,Diversity,one,False
ENGL 3678,"Bedrooms and Battlefields: Hebrew Bible and the Origins of Sex, Gender, and Ethnicity",,Diversity,one,False
ENGL 3685,Modern and Contemporary Jewish Literature,,Diversity,one,False
ENGL 1500,British Literature to 1800,,Literary Periods,one,False
ENGL 1502,American Literature to 1865,,Literary Periods,one,False
ENGL 1600,Introduction to Shakespeare,,Literary Periods,one,False
ENGL 2296,Early African-American Literature,,Literary Periods,one,False
ENGL 2330,The American Renaissance,,Literary Periods,one,False
ENGL 3101,Early Literatures,,Literary Periods,one,False
ENGL 3120,17th- and 18th-Century Literatures,,Literary Periods,one,False
ENGL 3160,Topics in 17th- and 18th-Century British Literatures,,Literary Periods,one,False
ENGL 3619,Emerson and Thoreau,,Literary Periods,one,False
ENGL 3678,"Bedrooms and Battlefields: Hebrew Bible and the Origins of Sex, Gender, and Ethnicity",,Literary Periods,one,False
or JWSS 3678,"Bedrooms and Battlefields: Hebrew Bible and the Origins of Sex, Gender, and Ethnicity",,Literary Periods,one,False
ENGL 4010,Topics in Shakespeare,,Literary Periods,one,False
ENGL 2301,The Graphic Novel,,Literary Periods,one,False
ENGL 2420,Contemporary Poetry,,Literary Periods,one,False
ENGL 2430,Contemporary Fiction,,Literary Periods,one,False
ENGL 2440,The Modern Bestseller,,Literary Periods,one,False
ENGL 2450,Postcolonial Literature,,Literary Periods,one,False
ENGL 2451,Postcolonial Women Writers,,Literary Periods,one,False
ENGL 2455,American Women Writers,,Literary Periods,one,False
ENGL 2470,Asian-American Literature,,Literary Periods,one,False
ENGL 2600,Irish Literary Culture (Abroad),,Literary Periods,one,False
ENGL 3161,20th- and 21st-Century Literatures,,Literary Periods,one,False
ENGL 3685,Modern and Contemporary Jewish Literature,,Literary Periods,one,False
or JWSS 3685,Modern and Contemporary Jewish Literature,,Literary Periods,one,False
ENGL 3730,20th- and 21st-Century Major Figure,,Literary Periods,one,False
ENGL 1140,Grammar: The Architecture of English,,Theories and Methods,one,False
ENGL 1160,Introduction to Rhetoric,,Theories and Methods,one,False
ENGL 1410,Introduction to Research on Writing,,Theories and Methods,one,False
ENGL 1450,Reading and Writing in the Digital Age,,Theories and Methods,one,False
ENGL 2510,Horror Fiction,,Theories and Methods,one,False
ENGL 2520,Science Fiction,,Theories and Methods,one,False
ENGL 2620,What Is Nature?,,Theories and Methods,one,False
ENGL 2690,Boston in Literature,,Theories and Methods,one,False
ENGL 3070,Literary Genres,,Theories and Methods,one,False
ENGL 3325,Rhetoric of Law,,Theories and Methods,one,False
ENGL 3381,The Practice and Theory of Teaching Writing,,Theories and Methods,one,False
ENGL 3400,Opening the Archive,,Theories and Methods,one,False
ENGL 3487,Film and Text (Abroad),,Theories and Methods,one,False
ENGL 3700,Narrative Medicine,,Theories and Methods,one,False
ENGL 4100,Topics in Literary Criticism (reactivating for Fall 24),,Theories and Methods,one,False
LING 1150,Introduction to Language and Linguistics,,Theories and Methods,one,False
LING 2350,Linguistic Analysis,,Theories and Methods,one,False
LING 3450,Syntax,,Theories and Methods,one,False
LING 3452,Semantics,,Theories and Methods,one,False
LING 3454,History of English,,Theories and Methods,one,False
LING 3456,Language and Gender,,Theories and Methods,one,False
LING 3458,Topics in Linguistics,,Theories and Methods,one,False
ENGL 3710,Major Seminar,4,Major Seminar,one,False
ENGL 2700,Creative Writing,,Writing,one,False
ENGL 2710,Style and Editing,,Writing,one,False
ENGL 2730,Digital Writing,,Writing,one,False
ENGL 2740,Writing and Community Engagement,,Writing,one,False
ENGL 2760,Writing in Global Contexts,,Writing,one,False
ENGL 2770,Writing to Heal,,Writing,one,False
ENGL 2850,Writing for Social Media: Theory and Practice,,Writing,one,False
ENGL 3375,Writing Boston,,Writing,one,False
ENGL 3376,Creative Nonfiction,,Writing,one,False
ENGL 3377,Poetry Workshop,,Writing,one,False
ENGL 3378,Fiction Workshop,,Writing,one,False
ENGL 3380,Writing Seminar,,Writing,one,False
ENGL 3384,The Writer’s Marketplace,,Writing,one,False
