Course Code,Course Name,Course Hours,Requirement Group,Number Required,Enrolled
CS 1800,Discrete Structures,,Default1,one,False
MATH 1213,Interactive Mathematics,,Default1,one,False
MATH 1215,Mathematical Thinking,,Default1,one,False
MATH 1231,Calculus for Business and Economics,,Default1,one,False
MATH 1241,Calculus 1,,Default1,one,False
MATH 1242,Calculus 2,,Default1,one,False
MATH 1251,Calculus and Differential Equations for Biology 1,,Default1,one,False
MATH 1252,Calculus and Differential Equations for Biology 2,,Default1,one,False
MATH 1340,Intensive Calculus for Engineers,,Default1,one,False
MATH 1341,Calculus 1 for Science and Engineering,,Default1,one,False
MATH 1342,Calculus 2 for Science and Engineering,,Default1,one,False
