Course Code,Course Name,Course Hours,Requirement Group,Number Required,Enrolled
PSYC 1101,Foundations of Psychology,4,Introductory Course,All,False
PSYC 3400,Personality,,Personal/Social Bases of Behavior (Area A),two,False
PSYC 3402,Social Psychology,,Personal/Social Bases of Behavior (Area A),two,False
PSYC 3404,Developmental Psychology,,Personal/Social Bases of Behavior (Area A),two,False
PSYC 3406,Clinical Psychology and Mental Health,,Personal/Social Bases of Behavior (Area A),two,False
PSYC 3450,Learning and Motivation,,Biological/Cognitive Bases of Behavior (Area B),two,False
or PSYC 3451,Learning Principles and Behavior Analysis,,Biological/Cognitive Bases of Behavior (Area B),two,False
PSYC 3452,Sensation and Perception,,Biological/Cognitive Bases of Behavior (Area B),two,False
PSYC 3458,Biological Psychology,,Biological/Cognitive Bases of Behavior (Area B),two,False
PSYC 3464,Psychology of Language,,Biological/Cognitive Bases of Behavior (Area B),two,False
PSYC 3466,Cognition,,Biological/Cognitive Bases of Behavior (Area B),two,False
Complete the following course. Students who receive transfer credit for the Advanced Placement Statistics exam may complete the 1 SH PSYC 2315 course (requires department permission):,4-5,,Statistics,the,False
PSYC 2320,Statistics in Psychological Research,,Statistics,the,False
PSYC 4656,Seminar in Biological Psychology,,Psychology Seminar,one,False
PSYC 4658,Seminar in Psycholinguistics,,Psychology Seminar,one,False
PSYC 4660,Seminar in Cognition,,Psychology Seminar,one,False
PSYC 4662,Seminar in Personality,,Psychology Seminar,one,False
PSYC 4664,Seminar in Social Psychology,,Psychology Seminar,one,False
PSYC 4666,Seminar in Clinical Psychology,,Psychology Seminar,one,False
PSYC 4668,Seminar in Sensation and Perception,,Psychology Seminar,one,False
PSYC 4674,Seminar in Cognitive Neuroscience,,Psychology Seminar,one,False
PSYC 4676,Seminar in Developmental Psychology,,Psychology Seminar,one,False
PSYC 4678,Seminar in Social and Affective Neuroscience,,Psychology Seminar,one,False
Complete two psychology lab courses OR one psychology lab course and one psychology directed study research or honors thesis:,8,,Lab Requirement,two,False
PSYC 4600,Laboratory in Research Design,,Lab Requirement,two,False
PSYC 4604,Laboratory in Learning and Motivation,,Lab Requirement,two,False
PSYC 4606,Laboratory in Biological Psychology,,Lab Requirement,two,False
PSYC 4610,Laboratory in Psycholinguistics,,Lab Requirement,two,False
PSYC 4612,Laboratory in Cognition,,Lab Requirement,two,False
PSYC 4614,Laboratory in Social Psychology,,Lab Requirement,two,False
PSYC 4616,Laboratory in Personality,,Lab Requirement,two,False
PSYC 4622,Laboratory in Sensation and Perception,,Lab Requirement,two,False
PSYC 4624,Laboratory in Affective Science,,Lab Requirement,two,False
PSYC 4626,Laboratory in Life-Span Emotional Development,,Lab Requirement,two,False
PSYC 4628,Laboratory in Developmental Psychology,,Lab Requirement,two,False
Directed Study Research or Honors Thesis,,,Lab Requirement,two,False
PSYC 4991,Directed Study Research,,Lab Requirement,two,False
or PSYC 4971,Junior/Senior Honors Project 2,,Lab Requirement,two,False
