Course Code,Course Name,Course Hours,Requirement Group,Number Required,Enrolled
CS 1200,First Year Seminar,1.0,Computer Science Overview,All,True
CS 1210,Professional Development for Khoury Co-op,1.0,Computer Science Overview,All,True
CS 1800and CS 1802,Discrete Structuresand Seminar for CS 1800,5.0,Computer Science Fundamental Courses,All,True
CS 2500and CS 2501,Fundamentals of Computer Science 1and Lab for CS 2500,5.0,Computer Science Fundamental Courses,All,True
CS 2510and CS 2511,Fundamentals of Computer Science 2and Lab for CS 2510,5.0,Computer Science Fundamental Courses,All,True
CS 3000,Algorithms and Data,4.0,Computer Science Required Courses,All,False
CS 3500and CS 3501,Object-Oriented Designand Lab for CS 3500,5.0,Computer Science Required Courses,All,False
CS 3650,Computer Systems,4.0,Computer Science Required Courses,All,False
CS 3800,Theory of Computation,4.0,Computer Science Required Courses,All,False
CS 4500,Software Development,4.0,Computer Science Required Courses,All,False
or CS 4530,Fundamentals of Software Engineering,,Computer Science Required Courses,All,False
DS 3000,Foundations of Data Science,4.0,Computer Science Required Courses,All,False
CY 2550,Foundations of Cybersecurity,,Security Required Course,one,True
CY 3740,Systems Security,,Security Required Course,one,True
CY 4740,Network Security,,Security Required Course,one,False
COMM 1112,Public Speaking,,Presentation Requirement,one,True
COMM 1113,Business and Professional Speaking,,Presentation Requirement,one,True
COMM 1210,Persuasion and Rhetoric,,Presentation Requirement,one,True
COMM 1511,Communication and Storytelling,,Presentation Requirement,one,True
THTR 1125,Improvisation,,Presentation Requirement,one,True
THTR 1130,Introduction to Acting,,Presentation Requirement,one,False
THTR 1180,Dynamic Presence: Theatre Training for Effective Interpersonal Interactions,,Presentation Requirement,one,False
THTR 2345,Acting for the Camera,,Presentation Requirement,one,False
