Course Code,Course Name,Course Hours
CY 2550,Foundations of Cybersecurity,
CY 3740,Systems Security,
CY 4740,Network Security,
COMM 1112,Public Speaking,
COMM 1113,Business and Professional Speaking,
COMM 1210,Persuasion and Rhetoric,
COMM 1511,Communication and Storytelling,
THTR 1125,Improvisation,
THTR 1130,Introduction to Acting,
THTR 1180,Dynamic Presence: Theatre Training for Effective Interpersonal Interactions,
THTR 2345,Acting for the Camera,
AFCS 2600,"Issues in Race, Science, and Technology",
CY 4170,"The Law, Ethics, and Policy of Data and Digital Technologies",
CY 5240,"Cyberlaw: Privacy, Ethics, and Digital Rights",
HIST 2220,History of Technology,
INSH 2102,"Bostonography: The City through Data, Texts, Maps, and Networks",
IS 1300,Knowledge in a Digital World,
PHIL 1145,Technology and Human Values,
SOCL 1280,The Twenty-First-Century Workplace,
SOCL 2485,"Environment, Technology, and Society",
SOCL 4528,Technology and Society,
